SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._CURRENT (V),AVG._VOLTAGE (V),POWER_FACTOR
000020709352,0703634602,1.75231E+12,LP,2025-07-12,13:00:00,0,10782.257,0.584,6326.5921,-2.58,237,-0.953
000020709352,0703634602,1.7523E+12,LP,2025-07-12,12:45:00,0,10782.257,0.699,6326.446,-3.133,236.9,-0.933
000020709352,0703634602,1.7523E+12,LP,2025-07-12,12:30:00,0,10782.257,0.691,6326.272,-3.244,239.2001,-0.879
000020709352,0703634602,1.7523E+12,LP,2025-07-12,12:15:00,0,10782.257,0.73,6326.099,-3.377,241.3,-0.882
000020709352,0703634602,1.7523E+12,LP,2025-07-12,12:00:00,0,10782.257,0.5927,6325.916,-2.549,242.1001,-0.954
000020709352,0703634602,1.7523E+12,LP,2025-07-12,11:45:00,0.0118,10782.257,0.7994,6325.768,-3.206,247,-0.9
000020709352,0703634602,1.7523E+12,LP,2025-07-12,11:30:00,0,10782.2551,0.8438,6325.569,-3.569,244.6001,-0.965
000020709352,0703634602,1.7523E+12,LP,2025-07-12,11:15:00,0,10782.2551,0.7711,6325.358,-3.429,245.1001,-0.894
000020709352,0703634602,1.7523E+12,LP,2025-07-12,11:00:00,0,10782.2551,0.9445,6325.165,-3.869,245.3,-0.99
000020709352,0703634602,1.7523E+12,LP,2025-07-12,10:45:00,0,10782.2551,0.715,6324.929,-3.247,244.3,-0.897
000020709352,0703634602,1.7523E+12,LP,2025-07-12,10:30:00,0.0057,10782.2551,0.8067,6324.75,-3.328,245.6001,-0.898
000020709352,0703634602,1.7523E+12,LP,2025-07-12,10:15:00,0,10782.254,0.4608,6324.549,-2.226,242.3,-0.823
000020709352,0703634602,1.75229E+12,LP,2025-07-12,10:00:00,0,10782.254,0.348,6324.434,-1.945,240.8,-0.704
000020709352,0703634602,1.75229E+12,LP,2025-07-12,09:45:00,0,10782.254,0.649,6324.347,-2.713,241.6001,-0.982
000020709352,0703634602,1.75229E+12,LP,2025-07-12,09:30:00,0.0008,10782.254,0.4086,6324.185,-2.228,240.8,-0.718
000020709352,0703634602,1.75229E+12,LP,2025-07-12,09:15:00,0,10782.254,0.3378,6324.0831,-1.431,240,-0.965
000020709352,0703634602,1.75229E+12,LP,2025-07-12,09:00:00,0.0344,10782.254,0.0582,6323.9981,0.559,238.9,-0.258
000020709352,0703634602,1.75229E+12,LP,2025-07-12,08:45:00,0.0103,10782.2461,0.1153,6323.984,-0.39,236.7001,-0.687
000020709352,0703634602,1.75229E+12,LP,2025-07-12,08:30:00,0.0002,10782.244,0.2987,6323.956,-1.549,238.6001,-0.782
000020709352,0703634602,1.75229E+12,LP,2025-07-12,08:15:00,0.0057,10782.244,0.1227,6323.8821,-0.846,233.4,-0.387
000020709352,0703634602,1.75229E+12,LP,2025-07-12,08:00:00,0.1115,10782.244,0.0109,6323.853,0.4721,232,0.494
000020709352,0703634602,1.75229E+12,LP,2025-07-12,07:45:00,0.4605,10782.217,0,6323.8511,2.5581,232.8,0.774
000020709352,0703634602,1.75229E+12,LP,2025-07-12,07:30:00,0.1562,10782.102,0,6323.8511,0.754,233.9,0.8181
000020709352,0703634602,1.75228E+12,LP,2025-07-12,07:15:00,0.1952,10782.063,0,6323.8511,1.434,234.1001,0.626
000020709352,0703634602,1.75228E+12,LP,2025-07-12,07:00:00,0.8292,10782.0141,0,6323.8511,4.066,233.9,0.735
000020709352,0703634602,1.75228E+12,LP,2025-07-12,06:45:00,0.1009,10781.807,0,6323.8511,0.505,235.5,0.842
