SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._CURRENT (V),AVG._VOLTAGE (V),POWER_FACTOR
22719908,708262610,1.75E+12,LP,12/07/2025,15:45:00,0,14262.299,1.6012,10771.846,-7.669,232.8,-0.892
22719908,708262610,1.75E+12,LP,12/07/2025,15:30:00,0,14262.299,1.8456,10771.446,-8.588,237.3,-0.886
22719908,708262610,1.75E+12,LP,12/07/2025,15:15:00,0,14262.299,1.0277,10770.984,-5.424,235.9,-0.745
22719908,708262610,1.75E+12,LP,12/07/2025,15:00:00,0,14262.299,0.6671,10770.726,-4.253,234.3,-0.647
22719908,708262610,1.75E+12,LP,12/07/2025,14:45:00,0,14262.299,1.2455,10770.5591,-6.201,233.3,-0.783
22719908,708262610,1.75E+12,LP,12/07/2025,14:30:00,0.0277,14262.299,0.937,10770.248,-4.994,224.6001,-0.607
22719908,708262610,1.75E+12,LP,12/07/2025,14:15:00,0.0032,14262.292,2.1303,10770.0141,-9.449,233.3,-0.837
22719908,708262610,1.75E+12,LP,12/07/2025,14:00:00,0,14262.292,2.2768,10769.484,-9.742,235.2001,-0.99
22719908,708262610,1.75E+12,LP,12/07/2025,13:45:00,0,14262.292,2.2444,10768.915,-9.709,232.7001,-0.99
22719908,708262610,1.75E+12,LP,12/07/2025,13:30:00,0,14262.292,2.826,10768.354,-11.83,239.5,-0.993
22719908,708262610,1.75E+12,LP,12/07/2025,13:15:00,0,14262.292,3.0945,10767.6481,-12.779,245.3,-0.981
22719908,708262610,1.75E+12,LP,12/07/2025,13:00:00,0,14262.292,2.2793,10766.874,-10.055,241.3,-0.926
22719908,708262610,1.75E+12,LP,12/07/2025,12:45:00,0,14262.292,3.3275,10766.302,-13.519,246.5,-0.994
22719908,708262610,1.75E+12,LP,12/07/2025,12:30:00,0.0808,14262.292,2.0548,10765.471,-7.605,245.8,-0.286
22719908,708262610,1.75E+12,LP,12/07/2025,12:15:00,0.0413,14262.2731,3.0693,10764.961,-12.103,248.5,-0.621
22719908,708262610,1.75E+12,LP,12/07/2025,12:00:00,0,14262.263,2.1977,10764.191,-10.235,237.4,-0.855
22719908,708262610,1.75E+12,LP,12/07/2025,11:45:00,0,14262.263,2.983,10763.642,-13.191,240.7001,-0.929
22719908,708262610,1.75E+12,LP,12/07/2025,11:30:00,0,14262.263,3.6827,10762.895,-15.472,247,-0.952
22719908,708262610,1.75E+12,LP,12/07/2025,11:15:00,0,14262.263,2.8389,10761.974,-12.472,241.3,-0.94
