SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),INST._POWER_FACTOR
23708792,702370702,1.75E+12,LP,12/07/2025,15:45:00,0.0278,1603.063,0.911,9922.662,0.0396,0.9164,4.216,224,-0.994
23708792,702370702,1.75E+12,LP,12/07/2025,15:30:00,0,1603.056,1.9405,9922.433,0,1.9459,8.467,228.9,-0.997
23708792,702370702,1.75E+12,LP,12/07/2025,15:15:00,0,1603.056,1.8725,9921.949,0,1.8769,8.1331,230.4,-0.995
23708792,702370702,1.75E+12,LP,12/07/2025,15:00:00,0,1603.056,1.5847,9921.482,0,1.5929,6.954,229,-0.981
23708792,702370702,1.75E+12,LP,12/07/2025,14:45:00,0,1603.056,2.055,9921.0851,0,2.063,8.812,232.9,-0.998
23708792,702370702,1.75E+12,LP,12/07/2025,14:30:00,0,1603.056,1.526,9920.572,0,1.533,6.6161,231.6001,-0.993
23708792,702370702,1.75E+12,LP,12/07/2025,14:15:00,0,1603.056,1.8978,9920.19,0,1.903,8.361,226.4,-1
23708792,702370702,1.75E+12,LP,12/07/2025,14:00:00,0,1603.056,1.7254,9919.716,0,1.7322,7.872,219.9,-1
23708792,702370702,1.75E+12,LP,12/07/2025,13:45:00,0,1603.056,1.6629,9919.285,0,1.6704,7.246,230.7001,-1
23708792,702370702,1.75E+12,LP,12/07/2025,13:30:00,0,1603.056,2.1291,9918.869,0,2.1345,8.9631,237.8,-0.998
23708792,702370702,1.75E+12,LP,12/07/2025,13:15:00,0,1603.056,2.4784,9918.337,0,2.4841,10.394,238.7001,-0.993
23708792,702370702,1.75E+12,LP,12/07/2025,13:00:00,0,1603.056,2.1783,9917.717,0,2.1851,9.783,223,-0.998
23708792,702370702,1.75E+12,LP,12/07/2025,12:45:00,0,1603.056,2.5157,9917.173,0,2.5198,10.804,232.7001,-0.997
23708792,702370702,1.75E+12,LP,12/07/2025,12:30:00,0,1603.056,3.1189,9916.544,0,3.1234,13.087,237.7001,-0.999
23708792,702370702,1.75E+12,LP,12/07/2025,12:15:00,0,1603.056,3.4008,9915.765,0,3.4119,14.331,237.9,-1
23708792,702370702,1.75E+12,LP,12/07/2025,12:00:00,0,1603.056,2.8415,9914.914,0,2.8483,11.881,239,-1
23708792,702370702,1.75E+12,LP,12/07/2025,11:45:00,0,1603.056,3.3593,9914.203,0,3.3639,13.7001,245.2001,-0.994
23708792,702370702,1.75E+12,LP,12/07/2025,11:30:00,0,1603.056,3.4131,9913.364,0,3.4184,14.653,233.3,-0.999
23708792,702370702,1.75E+12,LP,12/07/2025,11:15:00,0,1603.056,3.3024,9912.511,0,3.3085,13.8891,238.2001,-0.998
23708792,702370702,1.75E+12,LP,12/07/2025,11:00:00,0,1603.056,3.2235,9911.685,0,3.2307,13.617,237.1001,-0.995
23708792,702370702,1.75E+12,LP,12/07/2025,10:45:00,0.039,1603.056,2.1497,9910.879,0.057,2.1562,9.532,226.8,-0.993
23708792,702370702,1.75E+12,LP,12/07/2025,09:30:00,0,1603.047,1.8342,9910.365,0,1.845,8.002,229.1001,-0.998
23708792,702370702,1.75E+12,LP,12/07/2025,09:15:00,0,1603.047,1.0076,9909.906,0,1.0151,4.55,222,-0.987
