SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),INST._POWER_FACTOR
22734933,701440707,1.75E+12,LP,12/07/2025,15:45:00,0,4845.7481,1.6624,8817.716,0,1.6689,6.8021,245.1001,-0.987
22734933,701440707,1.75E+12,LP,12/07/2025,15:30:00,0,4845.7481,2.0721,8817.301,0,2.0781,8.478,244.8,-1
22734933,701440707,1.75E+12,LP,12/07/2025,15:15:00,0,4845.7481,2.1454,8816.783,0,2.1573,8.9,242.1001,-0.989
22734933,701440707,1.75E+12,LP,12/07/2025,15:00:00,0,4845.7481,1.7994,8816.247,0,1.8185,7.526,241.3,-1
22734933,701440707,1.75E+12,LP,12/07/2025,14:45:00,0,4845.7481,2.122,8815.798,0,2.1381,8.767,243.3,-1
22734933,701440707,1.75E+12,LP,12/07/2025,14:30:00,0,4845.7481,1.956,8815.268,0,1.9705,8.105,242.7001,-0.995
22734933,701440707,1.75E+12,LP,12/07/2025,14:15:00,0,4845.7481,1.3247,8814.779,0,1.3567,5.6001,242.1001,-0.833
22734933,701440707,1.75E+12,LP,12/07/2025,14:00:00,0,4845.7481,1.6672,8814.448,0,1.6972,6.902,245.5,-0.921
22734933,701440707,1.75E+12,LP,12/07/2025,13:45:00,0,4845.7481,1.3301,8814.0321,0,1.3705,5.667,241.6001,-0.99
22734933,701440707,1.75E+12,LP,12/07/2025,13:30:00,0,4845.7481,1.1883,8813.699,0,1.2451,5.11,243.6001,-0.966
22734933,701440707,1.75E+12,LP,12/07/2025,13:15:00,0.0177,4845.7481,0.664,8813.402,0.0337,0.7022,2.965,248.4,-0.951
22734933,701440707,1.75E+12,LP,12/07/2025,13:00:00,0.0025,4845.745,1.997,8813.2371,0.0067,2.0129,8.003,251.4,-1
22734933,701440707,1.75E+12,LP,12/07/2025,12:45:00,0.0695,4845.744,1.4015,8812.7371,0.0818,1.4178,5.961,250.4,-0.998
22734933,701440707,1.75E+12,LP,12/07/2025,12:30:00,0.0685,4845.727,1.8739,8812.387,0.0876,1.9084,7.944,250,-0.988
22734933,701440707,1.75E+12,LP,12/07/2025,12:15:00,0.0719,4845.711,2.1528,8811.919,0.0915,2.1819,9.079,249.1001,-0.986
22734933,701440707,1.75E+12,LP,12/07/2025,12:00:00,0.0114,4845.693,1.8697,8811.383,0.0245,1.9066,7.821,246,-0.937
22734933,701440707,1.75E+12,LP,12/07/2025,11:45:00,0.2886,4845.691,1.3849,8810.915,0.3271,1.4109,6.915,249.4,0.708
22734933,701440707,1.75E+12,LP,12/07/2025,11:30:00,0.2062,4845.62,1.8227,8810.572,0.228,1.8614,8.357,248.3,-0.996
22734933,701440707,1.75E+12,LP,12/07/2025,11:15:00,0.3498,4845.569,1.3457,8810.116,0.3785,1.3915,7.069,249.8,-0.795
22734933,701440707,1.75E+12,LP,12/07/2025,11:00:00,0.6936,4845.483,0.8793,8809.778,0.7223,0.9359,6.667,248.5,-0.927
22734933,701440707,1.75E+12,LP,12/07/2025,10:45:00,0.7553,4845.313,0.6239,8809.56,0.7908,0.6787,5.9751,246.1001,-0.881
22734933,701440707,1.75E+12,LP,12/07/2025,10:30:00,0.026,4845.125,2.4208,8809.404,0.0272,2.435,9.865,249.3,-0.999
22734933,701440707,1.75E+12,LP,12/07/2025,10:15:00,0.014,4845.119,2.9693,8808.799,0.0138,2.9738,12.006,248.1001,0.5631
22734933,701440707,1.75E+12,LP,12/07/2025,10:00:00,0,4845.116,2.4799,8808.057,0,2.4852,10.186,243.7001,-1
22734933,701440707,1.75E+12,LP,12/07/2025,09:45:00,0.0016,4845.116,1.6989,8807.437,0.0043,1.7099,6.944,244.6001,-1
22734933,701440707,1.75E+12,LP,12/07/2025,09:30:00,0,4845.116,2.33,8807.0141,0,2.3369,9.417,246.9,-0.868
22734933,701440707,1.75E+12,LP,12/07/2025,09:15:00,0,4845.116,1.3233,8806.431,0,1.3349,5.452,243.6001,-0.993
22734933,701440707,1.75E+12,LP,12/07/2025,09:00:00,0,4845.116,1.4974,8806.101,0,1.5037,6.194,242.6001,-0.989
22734933,701440707,1.75E+12,LP,12/07/2025,08:45:00,0,4845.116,1.3073,8805.726,0,1.3153,5.429,242.2001,-0.985
22734933,701440707,1.75E+12,LP,12/07/2025,08:30:00,0,4845.116,1.5439,8805.399,0,1.552,6.404,242.1001,-0.993
22734933,701440707,1.75E+12,LP,12/07/2025,08:15:00,0,4845.116,1.661,8805.013,0,1.6702,6.87,242.3,-0.99
22734933,701440707,1.75E+12,LP,12/07/2025,08:00:00,0,4845.116,0.9887,8804.598,0,1.0026,4.151,241.1001,-0.957
22734933,701440707,1.75E+12,LP,12/07/2025,07:45:00,0.1564,4845.116,0.315,8804.351,0.2275,0.3588,2.442,238.4,-0.999
22734933,701440707,1.75E+12,LP,12/07/2025,07:30:00,0.587,4845.078,0,8804.2731,0.6386,0,2.695,236.5,0.869
22734933,701440707,1.75E+12,LP,12/07/2025,07:15:00,0.7465,4844.9311,0,8804.2731,0.796,0,3.323,239.6001,0.981
22734933,701440707,1.75E+12,LP,12/07/2025,07:00:00,0.8764,4844.744,0,8804.2731,0.9104,0,3.8081,239,0.9551
22734933,701440707,1.75E+12,LP,12/07/2025,06:45:00,0.806,4844.5251,0,8804.2731,0.8413,0,3.49,240.9,0.9411
22734933,701440707,1.75E+12,LP,12/07/2025,06:30:00,0.9653,4844.3241,0,8804.2731,0.9942,0,4.125,240.9,0.97
22734933,701440707,1.75E+12,LP,12/07/2025,06:15:00,1.0533,4844.0831,0,8804.2731,1.1118,0,4.626,240.3,0.975
22734933,701440707,1.75E+12,LP,12/07/2025,06:00:00,1.1647,4843.819,0,8804.2731,1.219,0,5.1161,238.4,0.9391
22734933,701440707,1.75E+12,LP,12/07/2025,05:45:00,1.2545,4843.528,0,8804.2731,1.3007,0,5.501,236.5,0.9491
22734933,701440707,1.75E+12,LP,12/07/2025,05:30:00,0.9585,4843.214,0,8804.2731,0.9964,0,4.218,237.6001,0.9541
22734933,701440707,1.75E+12,LP,12/07/2025,05:15:00,1.156,4843.011,0,8804.2731,1.211,0,5.074,238.8,0.9411
22734933,701440707,1.75E+12,LP,12/07/2025,05:00:00,1.176,4842.722,0,8804.2731,1.229,0,5.146,238.8,0.9501
22734933,701440707,1.75E+12,LP,12/07/2025,04:45:00,1.2571,4842.428,0,8804.2731,1.3079,0,5.482,238.6001,0.986
22734933,701440707,1.75E+12,LP,12/07/2025,04:30:00,1.1703,4842.1141,0,8804.2731,1.2243,0,5.13,238.7001,0.9511
22734933,701440707,1.75E+12,LP,12/07/2025,04:15:00,1.2648,4841.821,0,8804.2731,1.316,0,5.509,238.9,0.9471
22734933,701440707,1.75E+12,LP,12/07/2025,04:00:00,1.1718,4841.505,0,8804.2731,1.2272,0,5.14,238.8,0.9531
22734933,701440707,1.75E+12,LP,12/07/2025,03:45:00,1.2062,4841.212,0,8804.2731,1.257,0,5.282,238,0.9471
22734933,701440707,1.75E+12,LP,12/07/2025,03:30:00,1.3512,4840.911,0,8804.2731,1.3942,0,5.881,237.1001,0.985
22734933,701440707,1.75E+12,LP,12/07/2025,03:15:00,1.2415,4840.573,0,8804.2731,1.2953,0,5.422,238.9,0.983
22734933,701440707,1.75E+12,LP,12/07/2025,03:00:00,1.2522,4840.263,0,8804.2731,1.3045,0,5.476,238.3,0.986
22734933,701440707,1.75E+12,LP,12/07/2025,02:45:00,1.2379,4839.95,0,8804.2731,1.2869,0,5.396,238.5,0.9511
22734933,701440707,1.75E+12,LP,12/07/2025,02:30:00,1.2134,4839.6411,0,8804.2731,1.2665,0,5.306,238.7001,0.98
22734933,701440707,1.75E+12,LP,12/07/2025,02:15:00,1.29,4839.338,0,8804.2731,1.3379,0,5.603,238.8,0.9551
22734933,701440707,1.75E+12,LP,12/07/2025,02:00:00,1.3401,4839.015,0,8804.2731,1.3881,0,5.8101,238.9,0.9461
22734933,701440707,1.75E+12,LP,12/07/2025,01:45:00,1.3293,4838.6811,0,8804.2731,1.3779,0,5.7621,239.1001,0.9501
22734933,701440707,1.75E+12,LP,12/07/2025,01:30:00,1.3719,4838.348,0,8804.2731,1.4134,0,5.98,236.3,0.9501
22734933,701440707,1.75E+12,LP,12/07/2025,01:15:00,0.9575,4838.005,0,8804.2731,0.998,0,4.265,234.7001,0.96
22734933,701440707,1.75E+12,LP,12/07/2025,01:00:00,0.5063,4837.765,0,8804.2731,0.557,0,2.331,238.7001,0.936
