SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),INST._POWER_FACTOR
23728027,701439409,1.75E+12,LP,12/07/2025,15:45:00,0,2146.534,1.5824,9110.756,0,1.6013,6.563,243.5,-0.957
23728027,701439409,1.75E+12,LP,12/07/2025,15:30:00,0,2146.534,2.1846,9110.361,0,2.1986,8.9501,245,-0.985
23728027,701439409,1.75E+12,LP,12/07/2025,15:15:00,0,2146.534,2.532,9109.815,0,2.5485,10.32,246.6001,-0.996
23728027,701439409,1.75E+12,LP,12/07/2025,15:00:00,0,2146.534,2.179,9109.182,0,2.1974,8.97,244.6001,-0.985
23728027,701439409,1.75E+12,LP,12/07/2025,14:45:00,0,2146.534,2.357,9108.637,0,2.3799,9.632,246,-0.98
23728027,701439409,1.75E+12,LP,12/07/2025,14:30:00,0,2146.534,2.0548,9108.047,0,2.083,8.483,244.9,-0.982
23728027,701439409,1.75E+12,LP,12/07/2025,14:15:00,0,2146.534,1.5532,9107.533,0,1.5867,6.486,244,-0.98
23728027,701439409,1.75E+12,LP,12/07/2025,14:00:00,0,2146.534,1.553,9107.145,0,1.5834,6.433,243.6001,-0.909
23728027,701439409,1.75E+12,LP,12/07/2025,13:45:00,0,2146.534,2.2057,9106.757,0,2.2313,9.099,245,-0.986
23728027,701439409,1.75E+12,LP,12/07/2025,13:30:00,0,2146.534,2.6374,9106.206,0,2.6634,10.688,249,-0.993
23728027,701439409,1.75E+12,LP,12/07/2025,13:15:00,0,2146.534,3.648,9105.547,0,3.6708,14.411,254.5,-0.996
23728027,701439409,1.75E+12,LP,12/07/2025,13:00:00,0,2146.534,2.8344,9104.635,0,2.8594,11.332,252,-0.99
23728027,701439409,1.75E+12,LP,12/07/2025,12:45:00,0,2146.534,3.2934,9103.926,0,3.3165,13.048,253.8,-0.988
23728027,701439409,1.75E+12,LP,12/07/2025,12:30:00,0,2146.534,3.6574,9103.1031,0,3.6819,14.355,255.9,-1
23728027,701439409,1.75E+12,LP,12/07/2025,12:15:00,0,2146.534,3.7132,9102.189,0,3.7364,14.551,255.8,-0.977
23728027,701439409,1.75E+12,LP,12/07/2025,12:00:00,0,2146.534,2.8178,9101.261,0,2.8443,11.236,252.5,-0.995
