SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,13:30:00,114.324,1123339.355,0,861.905,117.156,0,181.1401,193.9801,180.12,234.4,233.72,234.21
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,13:15:00,81.528,1123309.156,0,861.905,85.92,0,181.68,196.44,166.26,231.65,231.21,231.74
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,13:00:00,80.0641,1123280.58,0,861.905,84.024,0,158.16,163.68,147.24,234.47,234.59,234.85
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,12:45:00,68.604,1123260.225,0,861.905,74.01,0,127.44,122.76,117.18,234.51,234.18,234.88
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,12:30:00,91.14,1123240.208,0,861.905,95.31,0,99.6001,110.58,91.02,234.99,234.77,235.26
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,12:15:00,104.4,1123223.056,0,861.905,107.502,0,112.8,117.42,141.78,239.03,239.35,238.4201
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,12:00:00,109.26,1123200.271,0,861.905,112.998,0,146.7001,155.28,131.94,237.25,236.34,237.01
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,11:45:00,86.628,1123174.171,0,861.905,90.774,0,173.88,199.56,189.96,233.91,233.5,233.69
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,11:30:00,111.756,1123146.855,0,861.905,114.138,0,141.96,150.54,143.82,236.53,236,236.55
000021400390,073/AZ0858,1.76008E+12,LP,2025-10-10,11:15:00,101.232,1123125.172,0,861.905,104.016,0,148.1401,147.4201,138.54,235.49,235.47,235.6401
000021400390,073/AZ0858,1.76007E+12,LP,2025-10-10,11:00:00,117.87,1123097.232,0,861.905,120.486,0,143.16,150,138,236.6701,236.54,236.09
000021400390,073/AZ0858,1.76007E+12,LP,2025-10-10,10:45:00,120.84,1123071.949,0,861.905,123.402,0,128.52,149.6401,140.88,235.51,235.61,235.6
000021400390,073/AZ0858,1.76007E+12,LP,2025-10-10,10:30:00,119.424,1123042.481,0,861.905,122.316,0,171.6,190.08,199.9201,235.05,235.38,234.63
000021400390,073/AZ0858,1.76007E+12,LP,2025-10-10,10:15:00,124.482,1123012.271,0,861.905,127.194,0,205.68,228.18,249.54,232.24,231.58,231.19
