SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,13:30:00,24.492,3067999.561,0,6710.928,37.014,0,50.1,66.54,105.3,235.29,235.57,234.74
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,13:15:00,13.212,3067993.437,2.172,6710.928,26.04,7.284,-49.68,39.9,79.3201,233.33,234.11,232.96
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,13:00:00,0,3067990.133,24.0541,6710.389,0,42.018,-92.52,-49.32,62.76,236.4,236.6,235.55
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,12:45:00,0,3067990.133,20.634,6704.371,0,37.35,-100.68,-64.02,-50.88,235.46,235.69,234.6
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,12:30:00,0,3067990.133,28.596,6699.213,0,44.934,-106.2,-65.34,53.1601,239.26,239.21,237.5
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,12:15:00,18.078,3067990.133,6.432,6692.062,27.192,13.554,-111.18,-61.74,-51.66,239.4,239.3901,238.77
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,12:00:00,11.472,3067985.613,3.5101,6690.454,19.002,14.25,-68.22,-42.12,75.9601,238.1701,238.76,236.6
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,11:45:00,4.29,3067982.744,10.986,6689.575,10.032,24.294,-63.96,45.42,65.04,236.91,236.7001,235.9801
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,11:30:00,11.448,3067981.671,12.516,6686.828,16.044,23.646,-97.32,-72.9,46.92,238.12,238.8,237.91
000020401425,073/AZ0310,1.76008E+12,LP,2025-10-10,11:15:00,15.09,3067978.807,5.196,6683.6991,20.73,13.662,79.68,63.6,126.42,235.74,236.58,235.15
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,11:00:00,1.6621,3067975.035,16.1761,6682.399,4.62,28.9261,-91.08,-64.26,51.6601,237.61,238.03,236.13
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,10:45:00,16.05,3067974.619,0.48,6678.3551,28.452,3.516,-58.26,-37.68,60.3001,237.72,237.63,235.94
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,10:30:00,9.096,3067970.611,1.02,6678.233,22.902,5.214,-47.28,42.6601,99.42,236.26,235.88,234.13
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,10:15:00,24.486,3067968.3311,8.01,6677.978,28.794,14.91,-82.44,-55.02,53.22,235.31,235.7001,235.05
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,10:00:00,25.2,3067962.21,0.426,6675.975,33.648,2.94,68.04,61.14,94.08,234.4,234.28,233.25
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,09:45:00,23.1,3067955.91,0.972,6675.868,31.3621,5.226,-54.84,-34.98,51.3001,237.93,238.06,236.58
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,09:30:00,28.518,3067950.134,1.8,6675.624,35.124,5.3341,47.94,56.82,59.76,236.7001,236.84,237.04
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,09:15:00,35.178,3067943.005,0,6675.174,43.572,0,88.56,60.36,102.84,236.53,237.2001,235.75
000020401425,073/AZ0310,1.76007E+12,LP,2025-10-10,09:00:00,14.55,3067934.21,0.024,6675.174,29.256,0.582,42.96,50.94,70.26,239.13,238.6,238.16
