SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._CURRENT (V),AVG._VOLTAGE (V),POWER_FACTOR
000022701711,0700184606,1.75231E+12,LP,2025-07-12,13:30:00,0,3574.877,1.0941,7189.914,-4.651,236.7001,-0.989
000022701711,0700184606,1.75231E+12,LP,2025-07-12,13:15:00,0,3574.877,1.4567,7189.6411,-6.098,239.9,-0.985
000022701711,0700184606,1.75231E+12,LP,2025-07-12,13:00:00,0,3574.877,1.0432,7189.277,-4.423,238.5,-0.984
000022701711,0700184606,1.7523E+12,LP,2025-07-12,12:45:00,0,3574.877,1.2459,7189.017,-5.239,240,-0.987
000022701711,0700184606,1.7523E+12,LP,2025-07-12,12:30:00,0,3574.877,1.4163,7188.705,-5.93,240.2001,-0.986
000022701711,0700184606,1.7523E+12,LP,2025-07-12,12:15:00,0,3574.877,0.9471,7188.3511,-4.029,238.3,-0.98
000022701711,0700184606,1.7523E+12,LP,2025-07-12,12:00:00,0,3574.877,0.8645,7188.1141,-3.689,236.8,-0.986
000022701711,0700184606,1.7523E+12,LP,2025-07-12,11:45:00,0,3574.877,1.4585,7187.898,-6.073,241.7001,-0.989
000022701711,0700184606,1.7523E+12,LP,2025-07-12,11:30:00,0,3574.877,1.1757,7187.5341,-4.917,241.4,-0.975
000022701711,0700184606,1.7523E+12,LP,2025-07-12,11:15:00,0,3574.877,1.4132,7187.24,-5.871,242.3,-0.991
000022701711,0700184606,1.7523E+12,LP,2025-07-12,11:00:00,0,3574.877,1.3037,7186.887,-5.393,243.1001,-0.984
000022701711,0700184606,1.7523E+12,LP,2025-07-12,10:45:00,0,3574.877,1.2933,7186.5611,-5.354,243.3,-0.986
000022701711,0700184606,1.7523E+12,LP,2025-07-12,10:30:00,0,3574.877,1.1264,7186.238,-4.697,241.7001,-0.982
000022701711,0700184606,1.7523E+12,LP,2025-07-12,10:15:00,0,3574.877,0.8489,7185.957,-3.598,239.4,-0.971
000022701711,0700184606,1.75229E+12,LP,2025-07-12,10:00:00,0,3574.877,0.6915,7185.745,-3.014,236.8,-0.949
000022701711,0700184606,1.75229E+12,LP,2025-07-12,09:45:00,0,3574.877,0.8125,7185.572,-3.471,238.9,-0.96
000022701711,0700184606,1.75229E+12,LP,2025-07-12,09:30:00,0,3574.877,0.2719,7185.3691,-1.36,235.4,-0.811
000022701711,0700184606,1.75229E+12,LP,2025-07-12,09:15:00,0,3574.877,0.6361,7185.301,-2.776,237.1001,-0.945
000022701711,0700184606,1.75229E+12,LP,2025-07-12,09:00:00,0,3574.877,0.4495,7185.142,-2.001,236.9,-0.931
000022701711,0700184606,1.75229E+12,LP,2025-07-12,08:45:00,0,3574.877,0.4131,7185.03,-1.866,235.9,-0.914
000022701711,0700184606,1.75229E+12,LP,2025-07-12,08:30:00,0,3574.877,0.3602,7184.926,-1.676,236.6001,-0.876
000022701711,0700184606,1.75229E+12,LP,2025-07-12,08:15:00,0,3574.877,0.5026,7184.836,-2.241,236.5,-0.919
000022701711,0700184606,1.75229E+12,LP,2025-07-12,08:00:00,0,3574.877,0.2629,7184.711,-1.305,236.5,-0.824
000022701711,0700184606,1.75229E+12,LP,2025-07-12,07:45:00,0,3574.877,0.1695,7184.645,-0.964,236.7001,-0.714
000022701711,0700184606,1.75229E+12,LP,2025-07-12,07:30:00,0,3574.877,0.0555,7184.603,-0.652,236.6001,-0.343
000022701711,0700184606,1.75228E+12,LP,2025-07-12,07:15:00,0,3574.877,0.0605,7184.589,-0.545,236.4,-0.485
000022701711,0700184606,1.75228E+12,LP,2025-07-12,07:00:00,0.0095,3574.877,0.001,7184.5741,0.337,237.5,0.056
000022701711,0700184606,1.75228E+12,LP,2025-07-12,06:45:00,0.0956,3574.875,0,7184.5741,0.847,237.7001,0.335
000022701711,0700184606,1.75228E+12,LP,2025-07-12,06:30:00,0.2332,3574.851,0,7184.5741,1.268,238.1001,0.603
000022701711,0700184606,1.75228E+12,LP,2025-07-12,06:15:00,0.105,3574.793,0,7184.5741,0.74,235.8,0.6
000022701711,0700184606,1.75228E+12,LP,2025-07-12,06:00:00,0.192,3574.766,0,7184.5741,1.2711,233.8,0.642
000022701711,0700184606,1.75228E+12,LP,2025-07-12,05:45:00,0.0895,3574.718,0,7184.5741,0.579,233.2001,0.664
000022701711,0700184606,1.75228E+12,LP,2025-07-12,05:30:00,0.1182,3574.696,0,7184.5741,0.803,234.3,0.627
000022701711,0700184606,1.75228E+12,LP,2025-07-12,05:15:00,0.2017,3574.666,0,7184.5741,1.318,233.9,0.65
000022701711,0700184606,1.75228E+12,LP,2025-07-12,05:00:00,0.1825,3574.616,0,7184.5741,1.207,233,0.645
000022701711,0700184606,1.75228E+12,LP,2025-07-12,04:45:00,0.1205,3574.57,0,7184.5741,0.8151,233.1001,0.633
000022701711,0700184606,1.75227E+12,LP,2025-07-12,04:30:00,0.1205,3574.54,0,7184.5741,0.812,232.9,0.635
000022701711,0700184606,1.75227E+12,LP,2025-07-12,04:15:00,0.2064,3574.51,0,7184.5741,1.351,232.7001,0.655
000022701711,0700184606,1.75227E+12,LP,2025-07-12,04:00:00,0.1398,3574.4591,0,7184.5741,0.9421,232.5,0.634
000022701711,0700184606,1.75227E+12,LP,2025-07-12,03:45:00,0.1202,3574.424,0,7184.5741,0.81,232.4,0.637
000022701711,0700184606,1.75227E+12,LP,2025-07-12,03:30:00,0.1426,3574.3941,0,7184.5741,0.9531,232.2001,0.641
000022701711,0700184606,1.75227E+12,LP,2025-07-12,03:15:00,0.229,3574.358,0,7184.5741,1.5011,232.5,0.655
000022701711,0700184606,1.75227E+12,LP,2025-07-12,03:00:00,0.135,3574.301,0,7184.5741,0.919,232.3,0.633
000022701711,0700184606,1.75227E+12,LP,2025-07-12,02:45:00,0.1199,3574.2671,0,7184.5741,0.8131,232.3,0.633
000022701711,0700184606,1.75227E+12,LP,2025-07-12,02:30:00,0.1341,3574.237,0,7184.5741,0.872,232.4,0.657
000022701711,0700184606,1.75227E+12,LP,2025-07-12,02:15:00,0.2124,3574.203,0,7184.5741,1.3941,232.8,0.651
000022701711,0700184606,1.75227E+12,LP,2025-07-12,02:00:00,0.1227,3574.15,0,7184.5741,0.838,232.9,0.627
000022701711,0700184606,1.75226E+12,LP,2025-07-12,01:45:00,0.1199,3574.12,0,7184.5741,0.8231,232.4,0.626
000022701711,0700184606,1.75226E+12,LP,2025-07-12,01:30:00,0.2067,3574.09,0,7184.5741,1.375,232.3,0.644
000022701711,0700184606,1.75226E+12,LP,2025-07-12,01:15:00,0.1819,3574.038,0,7184.5741,1.229,231.4,0.636
000022701711,0700184606,1.75226E+12,LP,2025-07-12,01:00:00,0.1097,3573.992,0,7184.5741,0.751,231.8,0.63
000022701711,0700184606,1.75226E+12,LP,2025-07-12,00:45:00,0.1047,3573.965,0,7184.5741,0.7001,233.6001,0.641
000022701711,0700184606,1.75226E+12,LP,2025-07-12,00:30:00,0.2285,3573.939,0,7184.5741,1.5071,233,0.649
000022701711,0700184606,1.75226E+12,LP,2025-07-12,00:15:00,0.1509,3573.882,0,7184.5741,1.032,233,0.625
000022701711,0700184606,1.75226E+12,LP,2025-07-12,00:00:00,0.121,3573.844,0,7184.5741,0.842,232.1001,0.617
000022701711,0700184606,1.75226E+12,LP,2025-07-11,23:45:00,0.1698,3573.814,0,7184.5741,1.161,230.3,0.63
000022701711,0700184606,1.75226E+12,LP,2025-07-11,23:30:00,0.2209,3573.771,0,7184.5741,1.499,229.6001,0.64
000022701711,0700184606,1.75226E+12,LP,2025-07-11,23:15:00,0.0915,3573.716,0,7184.5741,0.635,229.5,0.631
000022701711,0700184606,1.75226E+12,LP,2025-07-11,23:00:00,0.1977,3573.693,0,7184.5741,1.203,230.7001,0.7031
000022701711,0700184606,1.75225E+12,LP,2025-07-11,22:45:00,0.3344,3573.6441,0,7184.5741,2.04,232.8,0.7031
000022701711,0700184606,1.75225E+12,LP,2025-07-11,22:30:00,0.282,3573.56,0,7184.5741,1.725,232.7001,0.7031
000022701711,0700184606,1.75225E+12,LP,2025-07-11,22:15:00,0.2288,3573.4901,0,7184.5741,1.3761,232.4,0.714
000022701711,0700184606,1.75225E+12,LP,2025-07-11,22:00:00,0.2412,3573.4321,0,7184.5741,1.44,230.9,0.726
000022701711,0700184606,1.75225E+12,LP,2025-07-11,21:45:00,0.3363,3573.3721,0,7184.5741,2.073,231,0.7011
