SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000017400798,0703235203,1.75689E+12,LP,2025-09-03,13:30:00,61.2,4047827,3.84,8453,92.4,17.2,222,219,205,236,236,236
000017400798,0703235203,1.75689E+12,LP,2025-09-03,13:15:00,85.2,4047812,1,8452,138.54,2.94,169,161,166,235,235,235
000017400798,0703235203,1.75688E+12,LP,2025-09-03,13:00:00,76.94,4047790,5.04,8452,125,21.7,251,242,234,237,238,238
000017400798,0703235203,1.75688E+12,LP,2025-09-03,12:45:00,35.9,4047771,22.3,8451,71.44,69.64,262,239,238,236,237,237
000017400798,0703235203,1.75688E+12,LP,2025-09-03,12:30:00,58.9,4047762,28.6,8445,72.2,64.1,188,188,204,236,236,236
000017400798,0703235203,1.75688E+12,LP,2025-09-03,12:15:00,46.2,4047747,25.8,8438,69.6,62.9,188,186,203,235,235,235
000017400798,0703235203,1.75688E+12,LP,2025-09-03,12:00:00,37.24,4047736,34.2,8432,54.1,87.5,181,174,185,236,236,236
000017400798,0703235203,1.75688E+12,LP,2025-09-03,11:45:00,41.9,4047726,30.34,8423,65.04,80.5,200,193,196,236,236,236
000017400798,0703235203,1.75688E+12,LP,2025-09-03,11:30:00,55.9,4047716,25.4,8416,78.9,57.5,194,183,192,236,237,237
000017400798,0703235203,1.75688E+12,LP,2025-09-03,11:15:00,43.94,4047702,21.3,8409,64.4,53.5,163,156,169,235,235,235
000017400798,0703235203,1.75688E+12,LP,2025-09-03,11:00:00,40.64,4047691,16.14,8404,67.74,55.74,165,155,167,234,235,235
000017400798,0703235203,1.75688E+12,LP,2025-09-03,10:45:00,42.04,4047681,19.64,8400,57.54,69.6,171,159,166,235,235,235
000017400798,0703235203,1.75688E+12,LP,2025-09-03,10:30:00,64.44,4047670,10.3,8395,92.1,47.7,212,193,188,235,235,235
000017400798,0703235203,1.75687E+12,LP,2025-09-03,10:15:00,97.1,4047654,0.2,8392,145.6,4.6,280,260,256,235,236,236
000017400798,0703235203,1.75687E+12,LP,2025-09-03,10:00:00,41.14,4047630,18.2,8392,65.4,55.7,178,155,156,233,233,233
000017400798,0703235203,1.75687E+12,LP,2025-09-03,09:45:00,13.1,4047620,36.24,8388,24,59.14,112,106,110,237,237,237
000017400798,0703235203,1.75687E+12,LP,2025-09-03,09:30:00,3.04,4047616,38.34,8379,16.14,80.74,193,208,215,237,238,238
000017400798,0703235203,1.75687E+12,LP,2025-09-03,09:15:00,2.7,4047616,23.3,8369,21.4,63.4,117,117,121,237,237,237
000017400798,0703235203,1.75687E+12,LP,2025-09-03,09:00:00,0.04,4047615,52.54,8363,0.74,88.1,69,63,64,236,236,237
000017400798,0703235203,1.75687E+12,LP,2025-09-03,08:45:00,0,4047615,70.3,8350,0,95.6,146,140,142,238,238,239
000017400798,0703235203,1.75687E+12,LP,2025-09-03,08:30:00,0,4047615,87.2,8333,0,95.14,171,170,168,237,237,237
000017400798,0703235203,1.75687E+12,LP,2025-09-03,08:15:00,0,4047615,79.1,8311,0,120.44,142,142,145,235,235,236
000017400798,0703235203,1.75687E+12,LP,2025-09-03,08:00:00,0,4047615,61.2,8291,0,112.14,169,167,166,239,239,239
000017400798,0703235203,1.75687E+12,LP,2025-09-03,07:45:00,0,4047615,32.64,8276,0,54.14,135,132,132,239,239,240
000017400798,0703235203,1.75686E+12,LP,2025-09-03,07:30:00,0,4047615,24.44,8268,0,56.7,59,56,57,236,236,237
000017400798,0703235203,1.75686E+12,LP,2025-09-03,07:15:00,0,4047615,21.64,8262,0,70.64,103,100,102,237,237,238
000017400798,0703235203,1.75686E+12,LP,2025-09-03,07:00:00,0.3,4047615,6.34,8256,18.5,52.7,110,105,106,238,238,238
000017400798,0703235203,1.75686E+12,LP,2025-09-03,06:45:00,1.04,4047615,0.2,8255,39.3,16.9,93,89,90,238,238,238
000017400798,0703235203,1.75686E+12,LP,2025-09-03,06:30:00,4.64,4047615,0,8254,30.7,0,64,58,58,237,237,237
000017400798,0703235203,1.75686E+12,LP,2025-09-03,06:15:00,6.04,4047613,0,8254,10.8,0,27,20,19,236,237,237
000017400798,0703235203,1.75686E+12,LP,2025-09-03,06:00:00,5.44,4047612,0,8254,5.5,0,11,8,3,237,237,237
000017400798,0703235203,1.75686E+12,LP,2025-09-03,05:45:00,5.4,4047611,0,8254,5.4,0,11,8,9,237,237,237
