SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),INST._POWER_FACTOR
000023713850,0708929001,1.75236E+12,LP,2025-07-13,03:15:00,0.3884,4321.566,0,4553.14,0.4198,0,2.001,209.7001,0.929
000023713850,0708929001,1.75236E+12,LP,2025-07-13,03:00:00,0.3833,4321.469,0,4553.14,0.4118,0,1.96,210,0.923
000023713850,0708929001,1.75235E+12,LP,2025-07-13,02:45:00,0.3804,4321.3731,0,4553.14,0.4081,0,1.96,208.2001,0.93
000023713850,0708929001,1.75235E+12,LP,2025-07-13,02:30:00,0.3915,4321.278,0,4553.14,0.4233,0,2.0101,210.5,0.923
000023713850,0708929001,1.75235E+12,LP,2025-07-13,02:15:00,0.3887,4321.18,0,4553.14,0.4198,0,2.009,208.8,0.932
000023713850,0708929001,1.75235E+12,LP,2025-07-13,02:00:00,0.4323,4321.0831,0,4553.14,0.4585,0,2.21,207.2001,0.937
000023713850,0708929001,1.75235E+12,LP,2025-07-13,01:45:00,0.4791,4320.975,0,4553.14,0.509,0,2.422,210.1001,0.935
000023713850,0708929001,1.75235E+12,LP,2025-07-13,01:30:00,0.422,4320.8551,0,4553.14,0.4512,0,2.146,210.1001,0.9531
000023713850,0708929001,1.75235E+12,LP,2025-07-13,01:15:00,0.406,4320.75,0,4553.14,0.4363,0,2.07,210.7001,0.937
000023713850,0708929001,1.75235E+12,LP,2025-07-13,01:00:00,0.4454,4320.648,0,4553.14,0.4728,0,2.255,209.7001,0.9391
000023713850,0708929001,1.75235E+12,LP,2025-07-13,00:45:00,0.482,4320.537,0,4553.14,0.5195,0,2.541,204.6001,0.9431
000023713850,0708929001,1.75235E+12,LP,2025-07-13,00:30:00,0.5227,4320.416,0,4553.14,0.5516,0,2.696,204.5,0.865
000023713850,0708929001,1.75235E+12,LP,2025-07-13,00:15:00,0.5287,4320.285,0,4553.14,0.5511,0,2.568,215.2001,0.9501
000023713850,0708929001,1.75235E+12,LP,2025-07-13,00:00:00,0.8438,4320.185,0,4553.14,0.8854,0,4.293,206.3,0.9521
000023713850,0708929001,1.75234E+12,LP,2025-07-12,23:45:00,0.9365,4319.974,0,4553.14,0.9585,0,4.6291,207,0.977
000023713850,0708929001,1.75234E+12,LP,2025-07-12,23:30:00,0.8825,4319.74,0,4553.14,0.9028,0,4.425,204,0.977
000023713850,0708929001,1.75234E+12,LP,2025-07-12,23:15:00,0.7556,4319.519,0,4553.14,0.8221,0,4.115,199.9,0.972
000023713850,0708929001,1.75234E+12,LP,2025-07-12,23:00:00,0.693,4319.33,0,4553.14,0.7705,0,3.846,200.4,0.888
000023713850,0708929001,1.75234E+12,LP,2025-07-12,22:45:00,0.7374,4319.157,0,4553.14,0.8072,0,4.101,196.9,0.908
000023713850,0708929001,1.75234E+12,LP,2025-07-12,22:30:00,0.7737,4318.972,0,4553.14,0.8368,0,4.097,204.2001,0.899
000023713850,0708929001,1.75234E+12,LP,2025-07-12,22:15:00,0.8258,4318.779,0,4553.14,0.8662,0,4.242,204.2001,0.915
000023713850,0708929001,1.75234E+12,LP,2025-07-12,22:00:00,0.8868,4318.572,0,4553.14,0.9108,0,4.526,201.2001,0.978
000023713850,0708929001,1.75234E+12,LP,2025-07-12,21:45:00,0.9845,4318.351,0,4553.14,1.0166,0,5.121,198.7001,0.966
000023713850,0708929001,1.75234E+12,LP,2025-07-12,21:30:00,0.9354,4318.1051,0,4553.14,0.9682,0,4.731,204.7001,0.978
000023713850,0708929001,1.75234E+12,LP,2025-07-12,21:15:00,0.9053,4317.871,0,4553.14,0.9275,0,4.4431,208.7001,0.973
000023713850,0708929001,1.75233E+12,LP,2025-07-12,21:00:00,1.0179,4317.644,0,4553.14,1.0423,0,4.924,211.6001,0.971
000023713850,0708929001,1.75233E+12,LP,2025-07-12,20:45:00,0.8587,4317.39,0,4553.14,0.9058,0,4.283,211.4,0.978
000023713850,0708929001,1.75233E+12,LP,2025-07-12,20:30:00,1.1853,4317.175,0,4553.14,1.2591,0,6.0041,210.3,0.924
000023713850,0708929001,1.75233E+12,LP,2025-07-12,20:15:00,1.0485,4316.879,0,4553.14,1.0938,0,5.21,210.4,0.9591
000023713850,0708929001,1.75233E+12,LP,2025-07-12,20:00:00,0.8428,4316.617,0,4553.14,0.8905,0,4.268,208.6001,0.966
000023713850,0708929001,1.75233E+12,LP,2025-07-12,19:45:00,0.8363,4316.407,0,4553.14,0.903,0,4.316,209.2001,0.922
000023713850,0708929001,1.75233E+12,LP,2025-07-12,19:30:00,0.9267,4316.198,0,4553.14,0.956,0,4.535,210.9,0.968
000023713850,0708929001,1.75233E+12,LP,2025-07-12,19:15:00,0.8122,4315.966,0,4553.14,0.8372,0,3.858,217,0.971
000023713850,0708929001,1.75233E+12,LP,2025-07-12,19:00:00,0.9098,4315.763,0,4553.14,0.929,0,4.2781,217.1001,0.995
000023713850,0708929001,1.75233E+12,LP,2025-07-12,18:45:00,1.0653,4315.535,0,4553.14,1.1055,0,5.1451,214.9,0.98
000023713850,0708929001,1.75233E+12,LP,2025-07-12,18:30:00,1.0297,4315.269,0,4553.14,1.0602,0,4.912,215.8,0.935
000023713850,0708929001,1.75232E+12,LP,2025-07-12,18:15:00,1.2114,4315.011,0,4553.14,1.342,0,6.2781,214.6001,0.89
000023713850,0708929001,1.75232E+12,LP,2025-07-12,18:00:00,0.8673,4314.709,0,4553.14,0.9135,0,4.26,214.4,0.9461
000023713850,0708929001,1.75232E+12,LP,2025-07-12,17:45:00,0.8463,4314.493,0,4553.14,0.8895,0,4.14,214.8,0.9451
000023713850,0708929001,1.75232E+12,LP,2025-07-12,17:30:00,0.8165,4314.282,0,4553.14,0.8689,0,4.022,216.2001,0.927
000023713850,0708929001,1.75232E+12,LP,2025-07-12,17:15:00,0.7915,4314.077,0,4553.14,0.8389,0,3.813,220,0.9481
000023713850,0708929001,1.75232E+12,LP,2025-07-12,17:00:00,0.356,4313.88,0,4553.14,0.434,0,1.945,223.3,0.906
000023713850,0708929001,1.75232E+12,LP,2025-07-12,16:45:00,0.4025,4313.79,0,4553.14,0.4938,0,2.228,221.8,0.986
000023713850,0708929001,1.75232E+12,LP,2025-07-12,16:30:00,0.2737,4313.6901,0,4553.14,0.3555,0,1.615,220.1001,0.8211
000023713850,0708929001,1.75232E+12,LP,2025-07-12,16:15:00,0.0918,4313.621,0.1363,4553.14,0.1519,0.2046,1.583,224.9,0.836
000023713850,0708929001,1.75232E+12,LP,2025-07-12,16:00:00,0.0166,4313.601,0.2178,4553.107,0.0367,0.3135,1.558,224.3,-0.937
000023713850,0708929001,1.75232E+12,LP,2025-07-12,15:45:00,0.0884,4313.598,0.2597,4553.053,0.1485,0.3093,1.993,228,0.022
000023713850,0708929001,1.75231E+12,LP,2025-07-12,15:30:00,0,4313.578,0.6963,4552.991,0.0014,0.7453,3.165,234.2001,-0.94
000023713850,0708929001,1.75231E+12,LP,2025-07-12,15:15:00,0.2745,4313.578,0.4542,4552.817,0.3273,0.5113,3.601,233,-0.976
000023713850,0708929001,1.75231E+12,LP,2025-07-12,15:00:00,0.0333,4313.511,0.8453,4552.704,0.0385,0.8897,3.9211,234.2001,0.971
000023713850,0708929001,1.75231E+12,LP,2025-07-12,14:45:00,0,4313.502,1.1845,4552.493,0,1.2265,5.149,236,-0.992
000023713850,0708929001,1.75231E+12,LP,2025-07-12,14:30:00,0,4313.502,0.772,4552.196,0,0.8091,3.485,230.1001,-0.947
000023713850,0708929001,1.75231E+12,LP,2025-07-12,14:15:00,0,4313.502,0.9855,4552.003,0,1.0323,4.344,235.4,-0.945
000023713850,0708929001,1.75231E+12,LP,2025-07-12,14:00:00,0,4313.502,1.0953,4551.758,0,1.1212,4.704,237.5,-0.981
000023713850,0708929001,1.75231E+12,LP,2025-07-12,13:45:00,0,4313.502,0.9202,4551.483,0,0.9572,4.024,236.8,-0.964
000023713850,0708929001,1.75231E+12,LP,2025-07-12,13:30:00,0,4313.502,1.3377,4551.254,0,1.4092,5.821,241.2001,-0.965
000023713850,0708929001,1.75231E+12,LP,2025-07-12,13:15:00,0,4313.502,1.2058,4550.92,0,1.4494,5.894,245.4,-0.833
000023713850,0708929001,1.75231E+12,LP,2025-07-12,13:00:00,0,4313.502,1.0553,4550.618,0,1.1492,4.727,242.5,-0.339
000023713850,0708929001,1.7523E+12,LP,2025-07-12,12:45:00,0,4313.502,1.6795,4550.3551,0,1.6945,6.891,244.9,-0.968
000023713850,0708929001,1.7523E+12,LP,2025-07-12,12:30:00,0,4313.502,2.2008,4549.936,0,2.2134,8.921,247.2001,-1
000023713850,0708929001,1.7523E+12,LP,2025-07-12,12:15:00,0,4313.502,2.2441,4549.385,0,2.2654,9.106,247.4,-0.966
000023713850,0708929001,1.7523E+12,LP,2025-07-12,12:00:00,0,4313.502,1.372,4548.823,0,1.4118,5.997,232.9,-0.985
000023713850,0708929001,1.7523E+12,LP,2025-07-12,11:45:00,0,4313.502,2.5379,4548.4801,0,2.5908,10.587,244.5,-1
000023713850,0708929001,1.7523E+12,LP,2025-07-12,11:30:00,0.0008,4313.502,2.0373,4547.847,0.0067,2.3584,9.622,245.7001,-0.997
000023713850,0708929001,1.7523E+12,LP,2025-07-12,11:15:00,0,4313.502,2.314,4547.338,0,2.3334,9.41,247.9,-0.991
000023713850,0708929001,1.7523E+12,LP,2025-07-12,11:00:00,0,4313.502,2.4619,4546.759,0,2.4735,9.901,249.8,-0.996
000023713850,0708929001,1.7523E+12,LP,2025-07-12,10:45:00,0,4313.502,2.1943,4546.144,0,2.2204,8.907,249,-1
000023713850,0708929001,1.7523E+12,LP,2025-07-12,10:30:00,0,4313.502,2.5438,4545.5961,0,2.5508,10.266,248.3,-1
000023713850,0708929001,1.7523E+12,LP,2025-07-12,10:15:00,0,4313.502,1.8045,4544.96,0,1.8142,7.438,242.1001,-0.997
000023713850,0708929001,1.75229E+12,LP,2025-07-12,10:00:00,0,4313.502,1.2799,4544.508,0,1.2854,5.341,238.9,-0.996
000023713850,0708929001,1.75229E+12,LP,2025-07-12,09:45:00,0,4313.502,1.3256,4544.189,0.0007,1.3493,5.556,239.2001,-0.971
000023713850,0708929001,1.75229E+12,LP,2025-07-12,09:30:00,0,4313.502,1.1522,4543.858,0,1.1915,4.936,240,-0.985
000023713850,0708929001,1.75229E+12,LP,2025-07-12,09:15:00,0,4313.502,0.3285,4543.57,0,0.4126,1.81,227.3,-0.877
000023713850,0708929001,1.75229E+12,LP,2025-07-12,09:00:00,0,4313.502,0.5754,4543.487,0,0.6183,2.621,234.1001,-0.901
000023713850,0708929001,1.75229E+12,LP,2025-07-12,08:45:00,0,4313.502,0.6345,4543.343,0,0.6689,2.884,231.1001,-0.958
000023713850,0708929001,1.75229E+12,LP,2025-07-12,08:30:00,0,4313.502,0.476,4543.185,0,0.5228,2.286,227.9,-0.971
000023713850,0708929001,1.75229E+12,LP,2025-07-12,08:15:00,0.0051,4313.502,0.2335,4543.066,0.0364,0.3067,1.5131,225.2001,-0.966
000023713850,0708929001,1.75229E+12,LP,2025-07-12,08:00:00,0,4313.501,0.1622,4543.008,0.001,0.2677,1.227,218.5,-0.212
000023713850,0708929001,1.75229E+12,LP,2025-07-12,07:45:00,0.0102,4313.501,0.0815,4542.968,0.0562,0.1638,1.0031,219.4,-0.767
000023713850,0708929001,1.75229E+12,LP,2025-07-12,07:30:00,0.0587,4313.499,0.0025,4542.948,0.1743,0.0263,0.924,216.9,0.3471
000023713850,0708929001,1.75228E+12,LP,2025-07-12,07:15:00,0.0483,4313.485,0.0057,4542.948,0.1504,0.0425,0.898,214.6001,0.211
000023713850,0708929001,1.75228E+12,LP,2025-07-12,07:00:00,0.1416,4313.474,0,4542.948,0.2392,0,1.115,214,0.2351
000023713850,0708929001,1.75228E+12,LP,2025-07-12,06:45:00,0.2967,4313.438,0,4542.948,0.3425,0,1.599,214.2001,0.8171
000023713850,0708929001,1.75228E+12,LP,2025-07-12,06:30:00,0.371,4313.3641,0,4542.948,0.4004,0,1.883,212.5,0.903
000023713850,0708929001,1.75228E+12,LP,2025-07-12,06:15:00,0.4303,4313.271,0,4542.948,0.4464,0,2.125,210.1001,0.961
000023713850,0708929001,1.75228E+12,LP,2025-07-12,06:00:00,0.4655,4313.164,0,4542.948,0.4798,0,2.314,207.3,0.971
