SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._CURRENT (V),AVG._VOLTAGE (V),POWER_FACTOR
000020708242,0701183604,1.75231E+12,LP,2025-07-12,13:30:00,0.1304,12343.131,1.0203,11703.964,-4.475,244.4,-0.474
000020708242,0701183604,1.75231E+12,LP,2025-07-12,13:15:00,0,12343.099,1.3695,11703.709,-6.988,246.9,-0.797
000020708242,0701183604,1.75231E+12,LP,2025-07-12,13:00:00,0,12343.099,1.1366,11703.367,-5.773,245.1001,-0.806
000020708242,0701183604,1.7523E+12,LP,2025-07-12,12:45:00,0,12343.099,1.1202,11703.083,-6.38,246,-0.715
000020708242,0701183604,1.7523E+12,LP,2025-07-12,12:30:00,0,12343.099,1.3287,11702.804,-7.55,246.8,-0.714
000020708242,0701183604,1.7523E+12,LP,2025-07-12,12:15:00,0,12343.099,1.3857,11702.471,-8.062,248,-0.694
000020708242,0701183604,1.7523E+12,LP,2025-07-12,12:00:00,0,12343.099,1.0937,11702.124,-5.114,242.7001,-0.884
000020708242,0701183604,1.7523E+12,LP,2025-07-12,11:45:00,0,12343.099,1.8655,11701.85,-8.715,249,-0.854
000020708242,0701183604,1.7523E+12,LP,2025-07-12,11:30:00,0,12343.099,1.7162,11701.385,-8.505,250.3,-0.804
000020708242,0701183604,1.7523E+12,LP,2025-07-12,11:15:00,0,12343.099,1.5225,11700.956,-8.943,249.3,-0.686
000020708242,0701183604,1.7523E+12,LP,2025-07-12,11:00:00,0,12343.099,1.611,11700.575,-8.533,249.5,-0.756
000020708242,0701183604,1.7523E+12,LP,2025-07-12,10:45:00,0,12343.099,1.5435,11700.172,-8.066,249,-0.766
000020708242,0701183604,1.7523E+12,LP,2025-07-12,10:30:00,0,12343.099,1.5105,11699.787,-7.589,247.4,-0.806
