SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),IMPORT_KVARH (kvarh),EXPORT_KVARH (kvarh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),POWER_FACTOR
000022303082,0701367810,1.75231E+12,LP,2025-07-12,13:30:00,0,4366.627,2.2645,9918.107,278.737,2296.671,0,2.3634,0.2391,-7.052,0,236.3,230.3,237.2001,-0.937
000022303082,0701367810,1.75231E+12,LP,2025-07-12,13:15:00,0,4366.627,2.4655,9917.5411,278.737,2296.636,0,2.5658,0.2371,-9.041,0,240.7001,239.3,238.4,-0.954
000022303082,0701367810,1.75231E+12,LP,2025-07-12,13:00:00,0,4366.627,1.9714,9916.9251,278.737,2296.601,0,2.0711,0.231,-12.768,0,239,244.7001,248.7001,-0.969
000022303082,0701367810,1.7523E+12,LP,2025-07-12,12:45:00,0,4366.627,2.1328,9916.432,278.737,2296.568,0,2.2319,0.2361,-6.706,0,234.1001,239.2001,242.2001,-0.939
000022303082,0701367810,1.7523E+12,LP,2025-07-12,12:30:00,0,4366.627,2.5487,9915.899,278.737,2296.534,0,2.6478,0.225,-8.818,0,243.6001,232.3,239.3,-0.953
000022303082,0701367810,1.7523E+12,LP,2025-07-12,12:15:00,0,4366.627,2.6613,9915.262,278.737,2296.501,0,2.7587,0.226,-14.311,0,246.3,241.7001,248.5,-0.972
000022303082,0701367810,1.7523E+12,LP,2025-07-12,12:00:00,0,4366.627,1.9362,9914.597,278.737,2296.468,0,2.0364,0.231,-7.578,0,234.2001,240.6001,239.3,-0.946
000022303082,0701367810,1.7523E+12,LP,2025-07-12,11:45:00,0,4366.627,2.7919,9914.113,278.737,2296.438,0,2.9039,0.226,-8.061,0,238.8,236.8,235.2001,-0.95
000022303082,0701367810,1.7523E+12,LP,2025-07-12,11:30:00,0,4366.627,2.6629,9913.415,278.737,2296.406,0,2.8224,0.453,-11.696,0,245.6001,236.3,241.7001,-0.927
000022303082,0701367810,1.7523E+12,LP,2025-07-12,11:15:00,0,4366.627,2.5732,9912.749,278.737,2296.368,0,2.6755,0.232,-12.539,0,243.7001,228.9,246.1001,-0.964
000022303082,0701367810,1.7523E+12,LP,2025-07-12,11:00:00,0,4366.627,2.5604,9912.106,278.737,2296.337,0,2.6585,0.226,-10.953,0,244.5,237.1001,244.1001,-0.962
000022303082,0701367810,1.7523E+12,LP,2025-07-12,10:45:00,0,4366.627,2.4713,9911.466,278.737,2296.305,0,2.5692,0.226,-10.419,0,241,241.2001,242,-0.96
000022303082,0701367810,1.7523E+12,LP,2025-07-12,10:30:00,0,4366.627,2.1945,9910.848,278.737,2296.273,0,2.2941,0.231,-10.795,0,237.8,243.8,245,-0.963
000022303082,0701367810,1.7523E+12,LP,2025-07-12,10:15:00,0,4366.627,1.5777,9910.3001,278.737,2296.241,0,1.6822,0.23,-8.265,0.014,230.3,244,250,-0.95
000022303082,0701367810,1.75229E+12,LP,2025-07-12,10:00:00,0,4366.627,1.3519,9909.905,278.737,2296.21,0,1.4582,0.2371,-5.418,0.028,226.7001,238.7001,240.7001,-0.918
000022303082,0701367810,1.75229E+12,LP,2025-07-12,09:45:00,0,4366.627,1.3474,9909.5671,278.737,2296.1911,0,1.466,0.24,-2.457,0.028,225.1001,235.7001,237.2001,-0.827
000022303082,0701367810,1.75229E+12,LP,2025-07-12,09:30:00,0,4366.627,1.4083,9909.231,278.737,2296.168,0,1.5296,0.26,-6.598,0.0361,227.6001,237.6001,243.6001,-0.927
000022303082,0701367810,1.75229E+12,LP,2025-07-12,09:15:00,0.0018,4366.627,0.4793,9908.879,278.737,2296.143,0.0067,0.6221,0.265,-1.631,0.038,223.6001,233.8,231.3,-0.644
000022303082,0701367810,1.75229E+12,LP,2025-07-12,09:00:00,0,4366.627,0.9956,9908.759,278.737,2296.108,0,1.117,0.241,-2.959,0.04,226,225.8,237.1001,-0.822
000022303082,0701367810,1.75229E+12,LP,2025-07-12,08:45:00,0,4366.627,1.0022,9908.51,278.737,2296.071,0,1.1827,0.241,-6.327,0.05,219.8,230.5,243.8,-0.923
000022303082,0701367810,1.75229E+12,LP,2025-07-12,08:30:00,0,4366.627,0.8824,9908.26,278.737,2296.035,0,1.143,0.444,-4.677,0.06,233.5,229.1001,241.2001,-0.815
000022303082,0701367810,1.75229E+12,LP,2025-07-12,08:15:00,0,4366.627,0.7556,9908.039,278.737,2295.988,0,1.061,0.437,-5.564,0.266,236.5,227.9,239.6001,-0.786
000022303082,0701367810,1.75229E+12,LP,2025-07-12,08:00:00,0,4366.627,0.584,9907.85,278.737,2295.933,0,0.8649,0.434,-2.25,0.2371,226.1001,229.9,226,-0.543
000022303082,0701367810,1.75229E+12,LP,2025-07-12,07:45:00,0,4366.627,0.3817,9907.704,278.737,2295.877,0,0.6841,0.425,-2.693,0.214,218.6001,232.4,230.7001,-0.64
000022303082,0701367810,1.75229E+12,LP,2025-07-12,07:30:00,0,4366.627,0.1889,9907.609,278.737,2295.814,0,0.5133,0.442,-1.704,0.21,221.9,230.4,226.4,-0.412
000022303082,0701367810,1.75228E+12,LP,2025-07-12,07:15:00,0,4366.627,0.1815,9907.562,278.737,2295.748,0,0.513,0.448,-1.465,0.2081,229.3,228.2001,224,-0.308
000022303082,0701367810,1.75228E+12,LP,2025-07-12,07:00:00,0,4366.627,0.1099,9907.516,278.737,2295.679,0,0.472,0.452,-1.626,0.211,223.8,232.1001,227.4,-0.381
000022303082,0701367810,1.75228E+12,LP,2025-07-12,06:45:00,0.0441,4366.627,0.0073,9907.489,278.737,2295.607,0.327,0.0829,0.45,-1.243,0.2071,228.1001,232.7001,222.8,-0.126
000022303082,0701367810,1.75228E+12,LP,2025-07-12,06:30:00,0.1207,4366.616,0,9907.488,278.737,2295.531,0.4111,0,0.45,-1.085,0.211,223,232.3,227.9,0.215
000022303082,0701367810,1.75228E+12,LP,2025-07-12,06:15:00,0.2003,4366.586,0,9907.488,278.737,2295.452,0.3128,0,0.586,1.171,0.21,220.2001,233,226.1001,0.387
000022303082,0701367810,1.75228E+12,LP,2025-07-12,06:00:00,1.2058,4366.536,0,9907.488,278.737,2295.421,1.3422,0,0.638,0.497,0.212,208.6001,233.9,228.2001,0.665
000022303082,0701367810,1.75228E+12,LP,2025-07-12,05:45:00,1.5799,4366.234,0,9907.488,278.737,2295.342,1.7049,0,7.4591,0.5,0.21,213.2001,232.8,226.4,0.918
000022303082,0701367810,1.75228E+12,LP,2025-07-12,05:30:00,1.5109,4365.839,0,9907.488,278.737,2295.242,1.6579,0,7.293,0.496,0.2081,218.2001,233.4,223.9,0.917
000022303082,0701367810,1.75228E+12,LP,2025-07-12,05:15:00,0.459,4365.462,0,9907.488,278.737,2295.1441,0.5785,0,5.867,0.516,0.2061,218.3,231.9,222.1001,0.886
000022303082,0701367810,1.75228E+12,LP,2025-07-12,05:00:00,0.2133,4365.347,0,9907.488,278.737,2295.1,0.3123,0,0.665,0.518,0.2061,218.1001,234.4,221.6001,0.687
000022303082,0701367810,1.75228E+12,LP,2025-07-12,04:45:00,0.2134,4365.293,0,9907.488,278.737,2295.074,0.3135,0,0.667,0.515,0.2071,220.4,232.6001,222.4,0.683
000022303082,0701367810,1.75227E+12,LP,2025-07-12,04:30:00,0.2133,4365.24,0,9907.488,278.737,2295.0481,0.3133,0,0.669,0.52,0.2061,219.5,233.5,221.8,0.673
000022303082,0701367810,1.75227E+12,LP,2025-07-12,04:15:00,0.2089,4365.187,0,9907.488,278.737,2295.022,0.3072,0,0.671,0.517,0.2071,219.2001,230.1001,223.3,0.68
000022303082,0701367810,1.75227E+12,LP,2025-07-12,04:00:00,0.1809,4365.135,0,9907.488,278.737,2294.996,0.2589,0,0.656,0.452,0.2051,223.1001,231.6001,220.7001,0.687
000022303082,0701367810,1.75227E+12,LP,2025-07-12,03:45:00,0.2048,4365.089,0,9907.488,278.737,2294.9701,0.3027,0,0.667,0.4711,0.2071,217.3,232.7001,223.3,0.68
000022303082,0701367810,1.75227E+12,LP,2025-07-12,03:30:00,0.2105,4365.0381,0,9907.488,278.737,2294.945,0.3095,0,0.669,0.486,0.2041,219.3,231.5,220.3,0.678
000022303082,0701367810,1.75227E+12,LP,2025-07-12,03:15:00,1.322,4364.985,0,9907.488,278.737,2294.92,1.46,0,0.664,0.503,0.2081,216.1001,231.2001,224.6001,0.6881
000022303082,0701367810,1.75227E+12,LP,2025-07-12,03:00:00,1.6412,4364.655,0,9907.488,278.737,2294.8361,1.7867,0,7.871,0.557,0.209,208,235.8,225.5,0.919
000022303082,0701367810,1.75227E+12,LP,2025-07-12,02:45:00,0.7606,4364.245,0,9907.488,278.737,2294.7401,0.8941,0,6.307,0.533,0.211,210.5,232.4,227.3,0.897
000022303082,0701367810,1.75227E+12,LP,2025-07-12,02:30:00,0.1875,4364.055,0,9907.488,278.737,2294.679,0.2686,0,0.713,0.517,0.2071,214.6001,231,222.8,0.68
000022303082,0701367810,1.75227E+12,LP,2025-07-12,02:15:00,0.2128,4364.008,0,9907.488,278.737,2294.654,0.3093,0,0.718,0.466,0.21,216.4,229.2001,225.9,0.683
000022303082,0701367810,1.75227E+12,LP,2025-07-12,02:00:00,0.2149,4363.954,0,9907.488,278.737,2294.628,0.3095,0,0.707,0.4781,0.2061,216.7001,230.1001,221.4,0.687
000022303082,0701367810,1.75226E+12,LP,2025-07-12,01:45:00,0.2164,4363.901,0,9907.488,278.737,2294.603,0.3138,0,0.714,0.499,0.2041,214.1001,230.6001,220.2001,0.6901
000022303082,0701367810,1.75226E+12,LP,2025-07-12,01:30:00,0.5624,4363.847,0,9907.488,278.737,2294.578,0.6557,0,0.704,0.467,0.202,216.3,232.5,218,0.6941
000022303082,0701367810,1.75226E+12,LP,2025-07-12,01:15:00,1.7154,4363.706,0,9907.488,278.737,2294.533,1.8594,0,8.01,0.685,0.21,204.7001,231.7001,226.1001,0.924
000022303082,0701367810,1.75226E+12,LP,2025-07-12,01:00:00,1.6503,4363.277,0,9907.488,278.737,2294.44,1.7897,0,7.955,0.743,0.209,206.4,231.2001,225.5,0.923
000022303082,0701367810,1.75226E+12,LP,2025-07-12,00:45:00,0.6547,4362.865,0,9907.488,278.737,2294.348,0.7747,0,6.4111,0.218,0.212,207.2001,235.8,228.5,0.919
000022303082,0701367810,1.75226E+12,LP,2025-07-12,00:30:00,0.2649,4362.701,0,9907.488,278.737,2294.295,0.3864,0,0.612,0.807,0.213,216.5,231.8,229.4,0.659
000022303082,0701367810,1.75226E+12,LP,2025-07-12,00:15:00,0.2736,4362.635,0,9907.488,278.737,2294.2691,0.3894,0,0.708,0.809,0.2051,217.5,237.2001,220.4,0.6991
000022303082,0701367810,1.75226E+12,LP,2025-07-12,00:00:00,0.2667,4362.566,0,9907.488,278.737,2294.2401,0.3804,0,0.714,0.799,0.211,215.8,234.4,227.2001,0.6981
000022303082,0701367810,1.75226E+12,LP,2025-07-11,23:45:00,0.2612,4362.5,0,9907.488,278.737,2294.212,0.3737,0,0.711,0.762,0.211,216.6001,234.2001,227.1001,0.7011
000022303082,0701367810,1.75226E+12,LP,2025-07-11,23:30:00,0.2579,4362.434,0,9907.488,278.737,2294.185,0.3713,0,0.716,0.6941,0.209,216.6001,232.6001,225.3,0.6981
000022303082,0701367810,1.75226E+12,LP,2025-07-11,23:15:00,0.2719,4362.37,0,9907.488,278.737,2294.158,0.3975,0,0.714,0.8221,0.2081,217.5,233,223.5,0.6941
000022303082,0701367810,1.75226E+12,LP,2025-07-11,23:00:00,0.2731,4362.302,0,9907.488,278.737,2294.13,0.3981,0,0.724,0.8311,0.2051,218.1001,231.5,220.2001,0.6911
000022303082,0701367810,1.75225E+12,LP,2025-07-11,22:45:00,0.2687,4362.234,0,9907.488,278.737,2294.103,0.3883,0,0.727,0.839,0.2071,216.6001,231.8,222.8,0.6911
000022303082,0701367810,1.75225E+12,LP,2025-07-11,22:30:00,0.2826,4362.166,0,9907.488,278.737,2294.08,0.4038,0,0.544,0.841,0.306,213.1001,229.1001,227.2001,0.678
000022303082,0701367810,1.75225E+12,LP,2025-07-11,22:15:00,0.3209,4362.0961,0,9907.488,278.737,2294.058,0.433,0,0.513,1.087,0.4081,216.9,229.5,221.8,0.743
000022303082,0701367810,1.75225E+12,LP,2025-07-11,22:00:00,0.3451,4362.015,0,9907.488,278.737,2294.031,0.4695,0,0.506,1.211,0.298,222.5,222.1001,220.1001,0.729
000022303082,0701367810,1.75225E+12,LP,2025-07-11,21:45:00,0.3331,4361.929,0,9907.488,278.737,2293.993,0.4608,0,0.517,1.191,0.302,212.7001,231,222.8,0.727
000022303082,0701367810,1.75225E+12,LP,2025-07-11,21:30:00,0.3222,4361.8461,0,9907.488,278.737,2293.955,0.4422,0,0.511,1.229,0.274,212.5,229.3,223.4,0.716
000022303082,0701367810,1.75225E+12,LP,2025-07-11,21:15:00,0.2988,4361.765,0,9907.488,278.737,2293.924,0.4228,0,0.506,1.29,0.079,217.2001,229.7001,225.1001,0.724
000022303082,0701367810,1.75225E+12,LP,2025-07-11,21:00:00,0.2905,4361.691,0,9907.488,278.737,2293.8941,0.4298,0,0.504,1.063,0.272,220.2001,230.4,222.9,0.681
000022303082,0701367810,1.75225E+12,LP,2025-07-11,20:45:00,0.2895,4361.618,0,9907.488,278.737,2293.857,0.4283,0,0.515,1.131,0.272,214,230.1001,223.5,0.679
000022303082,0701367810,1.75225E+12,LP,2025-07-11,20:30:00,0.2926,4361.546,0,9907.488,278.737,2293.823,0.4146,0,0.511,1.1301,0.271,221.4,226.6001,222.7001,0.677
000022303082,0701367810,1.75225E+12,LP,2025-07-11,20:15:00,0.2746,4361.472,0,9907.488,278.737,2293.801,0.3874,0,0.494,0.9461,0.264,220.3,237.8,211.4,0.71
000022303082,0701367810,1.75224E+12,LP,2025-07-11,20:00:00,0.2785,4361.404,0,9907.488,278.737,2293.785,0.383,0,0.512,0.9481,0.271,215.5,231.6001,220.2001,0.71
000022303082,0701367810,1.75224E+12,LP,2025-07-11,19:45:00,0.2725,4361.334,0,9907.488,278.737,2293.77,0.3808,0,0.506,0.886,0.267,217.2001,231.9,216.1001,0.705
000022303082,0701367810,1.75224E+12,LP,2025-07-11,19:30:00,0.3685,4361.2661,0,9907.488,278.737,2293.755,0.4535,0,0.494,1.21,0.301,218.4,231.7001,218.2001,0.809
000022303082,0701367810,1.75224E+12,LP,2025-07-11,19:15:00,0.3588,4361.174,0,9907.488,278.737,2293.7401,0.4418,0,0.501,1.215,0.299,217.4,231.7001,212.6001,0.811
000022303082,0701367810,1.75224E+12,LP,2025-07-11,19:00:00,0.2751,4361.084,0,9907.488,278.737,2293.73,0.3758,0,0.507,1.23,0.11,220.2001,233.7001,226.6001,0.8131
000022303082,0701367810,1.75224E+12,LP,2025-07-11,18:45:00,0.2529,4361.015,0,9907.488,278.737,2293.721,0.4683,0,0.465,0.91,0.1411,225,235.6001,221.2001,0.6991
000022303082,0701367810,1.75224E+12,LP,2025-07-11,18:30:00,0.2169,4360.952,0,9907.488,278.737,2293.655,0.4403,0,0.4141,1.412,0.1411,227.6001,230.6001,225.6001,0.535
000022303082,0701367810,1.75224E+12,LP,2025-07-11,18:15:00,0.1683,4360.898,0,9907.488,278.737,2293.589,0.4113,0,0.342,1.409,0.11,215,238.3,227.4,0.455
000022303082,0701367810,1.75224E+12,LP,2025-07-11,18:00:00,0.138,4360.856,0,9907.488,278.737,2293.522,0.3975,0,0.292,1.333,0.111,216.9,240.2001,217.6001,0.398
000022303082,0701367810,1.75224E+12,LP,2025-07-11,17:45:00,0.088,4360.821,0,9907.488,278.737,2293.456,0.3508,0,0.295,1.223,0.111,213.6001,238.6001,227.6001,0.1721
000022303082,0701367810,1.75224E+12,LP,2025-07-11,17:30:00,0.0511,4360.799,0.0085,9907.488,278.737,2293.393,0.267,0.0584,0.2821,1.0191,0.1041,229.3,227.9,228.4,0.28
000022303082,0701367810,1.75223E+12,LP,2025-07-11,17:15:00,0,4360.7881,0.3339,9907.486,278.737,2293.3361,0,0.5096,0.271,-1.079,0,222.4,232,231.1001,-0.252
000022303082,0701367810,1.75223E+12,LP,2025-07-11,17:00:00,0,4360.7881,0.559,9907.403,278.737,2293.288,0,0.6919,0.254,-2.555,0,225.8,234.9,233.2001,-0.794
000022303082,0701367810,1.75223E+12,LP,2025-07-11,16:45:00,0,4360.7881,0.5214,9907.263,278.737,2293.245,0,0.6605,0.263,-2.547,0,224.1001,231.6001,235,-0.787
000022303082,0701367810,1.75223E+12,LP,2025-07-11,16:30:00,0,4360.7881,0.782,9907.133,278.737,2293.201,0,0.9073,0.272,-2.703,0,220.6001,235.8,235.1001,-0.804
000022303082,0701367810,1.75223E+12,LP,2025-07-11,16:15:00,0,4360.7881,1.0864,9906.938,278.737,2293.165,0,1.2062,0.2821,-4.291,0,222.3,232.8,242.9,-0.888
000022303082,0701367810,1.75223E+12,LP,2025-07-11,16:00:00,0,4360.7881,1.4664,9906.6661,278.737,2293.134,0,1.5854,0.2851,-5.288,0,228.9,235.9,232.7001,-0.907
000022303082,0701367810,1.75223E+12,LP,2025-07-11,15:45:00,0,4360.7881,1.71,9906.3001,278.737,2293.103,0,1.834,0.2871,-5.871,0,234,227.9,234.8,-0.913
